"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"REPL","Replimune Group Inc","Healthcare","Biotechnology","USA",467.56,,96.89%,29.99%,2.12,-40.87%,-42.24%,2.78,9051.10
"DBI","Designer Brands Inc","Consumer Cyclical","Footwear & Accessories","USA",229.48,,73.20%,21.58%,4.64,54.10%,-21.54%,3.00,1557.12
"MPW","Medical Properties Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",2771.07,,58.10%,34.52%,19.88,0.22%,-6.49%,3.30,8608.91
"BGS","B&G Foods, Inc","Consumer Defensive","Packaged Foods","USA",368.02,,79.74%,22.43%,6.59,0.88%,-47.13%,3.40,2618.17
"OMER","Omeros Corporation","Healthcare","Biotechnology","USA",290.60,,42.86%,20.60%,11.97,10.05%,17.31%,2.00,1119.20
"SVRA","Savara Inc","Healthcare","Biotechnology","USA",661.97,,48.40%,21.98%,12.91,64.38%,-13.35%,1.00,1365.80
"IRBT","Irobot Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",106.97,,44.02%,23.91%,3.57,-8.33%,-42.88%,3.00,1913.12
"IOVA","Iovance Biotherapeutics Inc","Healthcare","Biotechnology","USA",861.21,,53.64%,24.38%,4.22,0.00%,-76.22%,2.08,16907.94
"ZOOZ","Zooz Power Ltd","Consumer Cyclical","Specialty Retail","Israel",32.12,,11.71%,20.50%,1.42,120.56%,18.00%,3.00,1237.12
"DDD","3D Systems Corp","Technology","Computer Hardware","USA",271.90,,51.26%,26.37%,7.16,15.22%,12.77%,2.50,4532.21
"SLS","SELLAS Life Sciences Group Inc","Healthcare","Biotechnology","USA",197.96,,25.57%,28.27%,11.24,22.08%,57.98%,1.00,2592.64
"SPWR","Complete Solaria Inc","Technology","Solar","USA",124.66,,19.68%,21.09%,10.99,-22.68%,-12.28%,1.00,1008.57
