"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"PFSA","Profusa Inc","Healthcare","Medical Devices","USA",2.65,,2.06%,,0.23,-95.73%,-95.12%,,6958.83
"WHLR","Wheeler Real Estate Investment Trust Inc","Real Estate","REIT - Retail","USA",7.06,,32.82%,26.87%,0.27,-48.76%,-99.96%,3.00,1696.79
"EDHL","Everbright Digital Holding Ltd","Communication Services","Advertising Agencies","USA",,,,,0.03,-80.89%,,,4039.74
"GSIW","Garden Stage Ltd","Financial","Capital Markets","Hong Kong",8.42,,21.76%,11.68%,0.33,-91.55%,-98.56%,,16675.04
"ABSI","Absci Corp","Healthcare","Biotechnology","USA",402.96,,60.00%,24.20%,6.45,-10.47%,-23.00%,1.00,4903.40
"WFF","WF Holding Ltd","Industrials","Specialty Industrial Machinery","Malaysia",26.95,,0.11%,1.90%,0.14,-83.91%,,,1064.41
"CRCL","Circle Internet Group Inc","Financial","Capital Markets","USA",29754.96,,19.67%,8.28%,0.53,9.70%,,2.81,21842.80
"STLA","Stellantis N.V","Consumer Cyclical","Auto Manufacturers","Netherlands",27395.39,,26.38%,2.73%,2.74,-7.52%,-38.68%,3.00,19652.40
"QS","QuantumScape Corp","Consumer Cyclical","Auto Parts","USA",5136.66,,27.89%,13.49%,1.23,96.43%,65.60%,3.50,44567.42
"HIMZ","Defiance Daily Target 2X Long HIMS ETF","Financial","Exchange Traded Fund","USA",,,,,1.10,-56.22%,,,4735.51
"DEFT","DeFi Technologies Inc","Financial","Capital Markets","Canada",771.93,,10.02%,2.82%,2.27,-27.55%,9.38%,1.00,3881.03
"OPTT","Ocean Power Technologies","Industrials","Specialty Industrial Machinery","USA",98.81,,8.67%,7.70%,2.40,0.16%,203.89%,1.00,5149.70
"LBRT","Liberty Energy Inc","Energy","Oil & Gas Equipment & Services","USA",1838.20,8.72,96.57%,5.71%,2.44,-15.11%,-41.40%,2.21,3645.73
"QSI","Quantum-Si Incorporated","Healthcare","Medical Devices","USA",235.82,,28.64%,14.78%,3.08,-33.83%,22.60%,1.67,7291.64
"SQNS","Sequans Communications S.A ADR","Technology","Semiconductors","France",24.64,,,22.57%,0.80,-47.24%,-62.14%,1.00,7144.41
"AMAT","Applied Materials Inc","Technology","Semiconductor Equipment & Materials","USA",135193.18,20.23,80.59%,2.82%,3.13,-1.79%,-4.42%,1.83,7162.73
"CONL","GraniteShares 2x Long COIN Daily ETF","Financial","Exchange Traded Fund","USA",,,,,1.17,37.55%,78.30%,,7359.92
"DOW","Dow Inc","Basic Materials","Chemicals","USA",17281.77,,69.24%,3.56%,1.69,-20.53%,-52.48%,2.80,14826.58
"QBTS","D-Wave Quantum Inc","Technology","Computer Hardware","USA",5597.13,,45.82%,20.13%,1.57,-1.00%,1841.51%,1.00,41776.54
"SNAP","Snap Inc","Communication Services","Internet Content & Information","USA",12152.09,,50.87%,13.19%,2.84,-16.09%,-15.69%,2.82,50722.48
