"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"APP","Applovin Corp","Communication Services","Advertising Agencies","USA",196585.78,86.34,581.18,1.73%,5412940
2,"CLSK","Cleanspark Inc","Financial","Capital Markets","USA",2894.62,11.73,10.30,0.96%,14390095
3,"GCT","GigaCloud Technology Inc","Technology","Software - Infrastructure","USA",1103.24,8.91,29.61,1.86%,1026672
4,"HIMS","Hims & Hers Health Inc","Consumer Defensive","Household & Personal Products","USA",12620.93,69.89,55.84,7.88%,29526884
5,"HUT","Hut 8 Corp","Financial","Capital Markets","USA",3442.39,23.11,32.62,2.07%,3014940
6,"IESC","IES Holdings Inc","Industrials","Engineering & Construction","USA",7547.37,30.88,380.14,0.85%,92980
7,"LRCX","Lam Research Corp","Technology","Semiconductor Equipment & Materials","USA",148418.36,28.20,117.27,1.46%,7139158
8,"NSSC","NAPCO Security Technologies Inc","Industrials","Security & Protection Services","USA",1489.36,35.10,41.77,0.67%,280215
9,"NVDA","NVIDIA Corp","Technology","Semiconductors","USA",4317138.09,50.56,177.66,0.28%,94278129
10,"NVMI","Nova Ltd","Technology","Semiconductor Equipment & Materials","Israel",8627.49,40.03,292.94,1.65%,210375
11,"ODD","ODDITY Tech Ltd","Technology","Software - Infrastructure","Israel",3512.42,35.11,62.91,-0.14%,255953
12,"SMCI","Super Micro Computer Inc","Technology","Computer Hardware","USA",26743.48,27.12,45.00,2.39%,32374374
