"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"WBTN","Webtoon Entertainment Inc","Communication Services","Internet Content & Information","USA",2536.41,,19.42,29.81%,3902493
2,"CRBP","Corbus Pharmaceuticals Holdings Inc","Healthcare","Biotechnology","USA",132.11,,10.78,15.05%,150223
3,"HYPD","Hyperion DeFi Inc","Healthcare","Biotechnology","USA",71.95,,12.64,9.30%,675549
4,"SKIL","Skillsoft Corp","Consumer Defensive","Education & Training Services","USA",121.17,,13.91,7.35%,15118
5,"BWAY","Brainsway Ltd ADR","Healthcare","Medical Devices","Israel",303.76,59.13,16.06,6.36%,33613
6,"BBAI","BigBear.ai Holdings Inc","Technology","Information Technology Services","USA",1998.09,,5.39,5.89%,67774053
7,"AQMS","Aqua Metals Inc","Industrials","Waste Management","USA",5.31,,3.78,5.44%,25541
8,"AIV","Apartment Investment & Management Co","Real Estate","REIT - Residential","USA",1093.82,,7.68,3.57%,1704739
9,"SCNX","Scienture Holdings Inc","Healthcare","Pharmaceutical Retailers","USA",21.06,,1.01,3.28%,3559477
10,"IMCC","IM Cannabis Corp","Healthcare","Drug Manufacturers - Specialty & Generic","Israel",10.44,,1.99,3.11%,4607
11,"UAVS","AgEagle Aerial Systems Inc","Technology","Computer Hardware","USA",58.87,,1.73,2.37%,544482
12,"IQST","iQSTEL Inc","Communication Services","Telecom Services","USA",22.65,,6.28,2.13%,47084
13,"OXY","Occidental Petroleum Corp","Energy","Oil & Gas E&P","USA",45712.46,27.28,46.44,2.12%,2220037
14,"LW","Lamb Weston Holdings Inc","Consumer Defensive","Packaged Foods","USA",7951.58,22.77,57.06,1.73%,223547
15,"RNA","Avidity Biosciences Inc","Healthcare","Biotechnology","USA",5860.80,,40.80,1.44%,294920
16,"PRME","Prime Medicine Inc","Healthcare","Biotechnology","USA",724.37,,4.07,1.37%,409264
17,"SNAP","Snap Inc","Communication Services","Internet Content & Information","USA",12758.24,,7.55,1.21%,32376130
18,"HITI","High Tide Inc","Healthcare","Pharmaceutical Retailers","Canada",323.07,,3.71,0.82%,1650244
19,"NIQ","NIQ Global Intelligence plc","Financial","Closed-End Fund - Debt","USA",5447.17,,18.47,0.63%,162641
20,"MAGS","Roundhill Magnificent Seven ETF","Financial","Exchange Traded Fund","USA",,,64.49,0.55%,635228
21,"ANRO","Alto Neuroscience Inc","Healthcare","Biotechnology","USA",102.62,,3.79,0.53%,7668
22,"LFST","LifeStance Health Group Inc","Healthcare","Medical Care Facilities","USA",2024.41,,5.20,0.48%,281222
23,"PLTK","Playtika Holding Corp","Communication Services","Electronic Gaming & Multimedia","Israel",1350.99,15.60,3.60,0.42%,348642
24,"PFE","Pfizer Inc","Healthcare","Drug Manufacturers - General","USA",136851.20,12.80,24.07,0.42%,8939424
25,"JAKK","Jakks Pacific Inc","Consumer Cyclical","Leisure","USA",202.20,5.36,18.14,0.39%,69423
26,"RSI","Rush Street Interactive Inc","Consumer Cyclical","Gambling","USA",4836.41,104.96,21.16,0.28%,127906
27,"AVDL","Avadel Pharmaceuticals plc","Healthcare","Drug Manufacturers - Specialty & Generic","Ireland",1478.93,,15.23,0.27%,92349
28,"TROX","Tronox Holdings plc","Basic Materials","Chemicals","USA",784.70,,4.95,0.20%,640980
29,"ERIC","Telefonaktiebolaget L M Ericsson ADR","Technology","Communication Equipment","Sweden",24434.10,15.90,7.95,0.19%,2841582
30,"MPLX","MPLX LP","Energy","Oil & Gas Midstream","USA",52288.27,12.18,51.31,0.18%,144682
31,"RPRX","Royalty Pharma plc","Healthcare","Biotechnology","USA",20535.90,15.33,35.21,0.17%,539380
32,"CIO","City Office REIT Inc","Real Estate","REIT - Office","Canada",280.32,,6.95,0.07%,199358
33,"XYLD","Global X S&P 500 Covered Call ETF","Financial","Exchange Traded Fund","USA",,,39.36,0.03%,200128
34,"CSX","CSX Corp","Industrials","Railroads","USA",60589.37,19.97,32.50,0.00%,809415
35,"SCHD","Schwab US Dividend Equity ETF","Financial","Exchange Traded Fund","USA",,,27.33,-0.04%,5418462
36,"BMY","Bristol-Myers Squibb Co","Healthcare","Drug Manufacturers - General","USA",94250.86,18.68,46.31,-0.10%,1497530
37,"M","Macy's Inc","Consumer Cyclical","Department Stores","USA",4677.88,9.90,17.42,-0.10%,2007403
38,"EPD","Enterprise Products Partners L P","Energy","Oil & Gas Midstream","USA",68624.49,11.84,31.69,-0.18%,769034
39,"SKWD","Skyward Specialty Insurance Group Inc","Financial","Insurance - Property & Casualty","USA",1839.31,14.34,45.43,-0.22%,80242
40,"TRIN","Trinity Capital Inc","Financial","Asset Management","USA",1123.27,7.16,15.98,-0.28%,162670
41,"GM","General Motors Company","Consumer Cyclical","Auto Manufacturers","USA",55818.04,9.29,58.63,-0.55%,1226546
42,"RDW","Redwire Corporation","Industrials","Aerospace & Defense","USA",1292.04,,8.97,-0.99%,2024619
43,"UUUU","Energy Fuels Inc","Energy","Uranium","USA",3115.27,,13.51,-2.28%,6677483
