"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"APVO","Aptevo Therapeutics Inc","Healthcare","Biotechnology","USA",7.19,,2.19,52.08%,73298982
2,"ADAP","Adaptimmune Therapeutics Plc ADR","Healthcare","Biotechnology","United Kingdom",23.03,,0.09,30.48%,207801573
3,"NUKK","Nukkleus Inc","Technology","Software - Application","USA",42.14,0.30,5.96,15.71%,12417227
4,"WOLF","Wolfspeed Inc","Technology","Semiconductors","USA",517.78,,3.31,11.79%,36240044
5,"GSIW","Garden Stage Ltd","Financial","Capital Markets","Hong Kong",11.35,,0.16,10.69%,2258134
6,"RAYA","Erayak Power Solution Group Inc","Industrials","Electrical Equipment & Parts","China",9.86,,0.05,9.66%,14479680
7,"NFE","New Fortress Energy Inc","Energy","Oil & Gas Midstream","USA",426.31,,1.50,8.57%,12623612
8,"ZOOZ","Zooz Power Ltd","Consumer Cyclical","Specialty Retail","Israel",33.96,,2.49,8.48%,3586947
9,"WHLR","Wheeler Real Estate Investment Trust Inc","Real Estate","REIT - Retail","USA",6.37,,2.05,7.79%,9979471
10,"BBAI","BigBear.ai Holdings Inc","Technology","Information Technology Services","USA",2031.45,,5.48,7.66%,46002526
11,"FLNC","Fluence Energy Inc","Utilities","Utilities - Renewable","USA",1439.97,,7.89,6.77%,1929301
12,"NVOX","Defiance Daily Target 2X Long NVO ETF","Financial","Exchange Traded Fund","USA",,,3.76,4.45%,4471925
13,"TMC","TMC the metals company Inc","Basic Materials","Other Industrial Metals & Mining","Canada",2277.46,,5.60,3.21%,2858846
14,"SNAP","Snap Inc","Communication Services","Internet Content & Information","USA",12977.91,,7.68,2.95%,15422922
15,"NVO","Novo Nordisk ADR","Healthcare","Drug Manufacturers - General","Denmark",191213.02,15.65,56.81,2.13%,3185942
16,"PRME","Prime Medicine Inc","Healthcare","Biotechnology","USA",725.26,,4.07,1.50%,253481
17,"WTI","W & T Offshore Inc","Energy","Oil & Gas E&P","USA",261.08,,1.76,1.15%,69228
18,"TNGX","Tango Therapeutics Inc","Healthcare","Biotechnology","USA",765.62,,6.88,0.90%,213144
19,"IRBT","Irobot Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",124.84,,3.98,0.76%,241593
20,"SANA","Sana Biotechnology Inc","Healthcare","Biotechnology","USA",838.20,,3.24,0.31%,200922
21,"PLUG","Plug Power Inc","Industrials","Electrical Equipment & Parts","USA",1813.10,,1.57,0.00%,6274963
22,"SPWR","Complete Solaria Inc","Technology","Solar","USA",130.06,,1.57,-0.32%,28241
