"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"NEGG","Newegg Commerce Inc","Consumer Cyclical","Internet Retail","USA",1066.80,,1.84%,1.21%,0.16,383.30%,218.18%,1.00,1505.62
"XXII","22nd Century Group Inc","Consumer Defensive","Tobacco","USA",7.45,,0.88%,2.82%,0.10,-77.41%,-99.77%,2.00,1078.62
"STAI","ScanTech AI Systems Inc","Industrials","Building Products & Equipment","USA",31.41,2.64,37.50%,7.35%,0.43,-32.82%,-95.49%,,8752.84
"ASTS","AST SpaceMobile Inc","Technology","Communication Equipment","USA",16169.17,,32.33%,19.36%,3.57,-1.83%,61.07%,2.00,11092.94
"DVLT","Datavault AI Inc","Technology","Software - Infrastructure","USA",52.67,,4.86%,17.76%,0.64,-25.28%,-75.47%,1.00,10676.90
"RVYL","Ryvyl Inc","Technology","Software - Infrastructure","USA",9.41,,5.52%,7.40%,0.48,-62.03%,-76.56%,2.00,3243.31
"ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA",6359.96,,51.74%,17.07%,2.77,-1.79%,215.02%,1.43,33542.97
"MNDY","Monday.Com Ltd","Technology","Software - Application","Israel",11126.98,295.67,79.52%,7.72%,2.80,-21.86%,-15.36%,1.35,1133.67
"SSYS","Stratasys Ltd","Technology","Computer Hardware","USA",895.44,,47.50%,3.59%,2.49,1.54%,40.78%,1.60,768.51
"EVEX","Eve Holding Inc","Industrials","Aerospace & Defense","USA",1203.53,,4.81%,5.71%,3.30,-23.95%,38.41%,1.50,878.94
"FLR","Fluor Corporation","Industrials","Engineering & Construction","USA",7210.23,1.84,98.79%,5.98%,2.34,-10.15%,-3.48%,2.00,4072.43
"TSSI","TSS Inc","Technology","Information Technology Services","USA",451.28,44.73,25.92%,33.16%,1.64,-37.88%,191.93%,,2999.87
"DRIP","Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares","Financial","Exchange Traded Fund","USA",,,,,0.11,3.67%,-21.58%,,2496.69
"FTNT","Fortinet Inc","Technology","Software - Infrastructure","USA",64527.27,33.61,70.17%,3.20%,2.96,-15.66%,11.37%,2.60,6884.01
"HUMA","Humacyte Inc","Healthcare","Biotechnology","USA",295.44,,36.67%,25.55%,7.75,-19.48%,-64.44%,1.43,4334.73
"AMGN","AMGEN Inc","Healthcare","Drug Manufacturers - General","USA",153653.87,23.35,82.16%,2.20%,5.22,-1.35%,-14.24%,2.39,2261.81
"BKKT","Bakkt Holdings Inc","Technology","Software - Infrastructure","USA",241.28,,16.94%,21.27%,2.18,-22.55%,-8.42%,1.00,1185.67
"DJT","Trump Media & Technology Group Corp","Communication Services","Internet Content & Information","USA",4832.05,,19.22%,10.00%,1.73,-2.19%,8.05%,,7416.11
"XRX","Xerox Holdings Corp","Technology","Information Technology Services","USA",515.90,,98.59%,19.38%,5.32,-23.65%,-60.50%,3.67,4231.30
"OI","O-I Glass Inc","Consumer Cyclical","Packaging & Containers","USA",2022.98,,100.00%,5.51%,4.77,-6.35%,1.63%,2.18,1738.62
"PDYN","Palladyne AI Corp","Technology","Software - Infrastructure","USA",331.40,,17.98%,23.79%,2.62,-8.78%,307.22%,2.00,2414.33
"AMBP","Ardagh Metal Packaging S.A","Consumer Cyclical","Packaging & Containers","Luxembourg",2307.12,,18.34%,2.30%,2.20,-7.43%,6.34%,2.86,1440.71
"PMAX","Powell Max Ltd","Industrials","Specialty Business Services","Hong Kong",4.64,,0.97%,28.75%,0.64,-18.07%,-91.45%,,1364.74
"OS","OneStream Inc","Technology","Software - Infrastructure","USA",4818.04,,46.67%,7.44%,3.61,-28.58%,-34.74%,1.33,1701.80
"IE","Ivanhoe Electric Inc","Basic Materials","Copper","USA",1261.77,,64.38%,9.14%,6.70,20.87%,29.08%,1.14,1290.10
