"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"XXII","22nd Century Group Inc","Consumer Defensive","Tobacco","USA",6.77,,0.88%,2.67%,0.06,-78.49%,-99.80%,2.00,1611.34
"IMRX","Immuneering Corp","Healthcare","Biotechnology","USA",409.32,,9.21%,9.94%,2.88,208.67%,243.09%,1.00,1027.87
"TOMZ","TOMI Environmental Solutions Inc","Industrials","Pollution & Treatment Controls","USA",21.68,,4.67%,0.07%,0.20,3.85%,28.57%,1.00,39.91
"LINK","Interlink Electronics","Technology","Electronic Components","USA",142.54,,1.30%,1.59%,0.37,142.86%,295.89%,1.00,69.79
"LAND","Gladstone Land Corp","Real Estate","REIT - Specialty","USA",340.13,,43.44%,7.27%,5.44,-8.74%,-32.91%,2.33,449.78
"VZ","Verizon Communications Inc","Communication Services","Telecom Services","USA",183157.16,10.09,67.62%,2.20%,5.17,3.18%,-1.85%,2.32,17974.24
"GIS","General Mills, Inc","Consumer Defensive","Packaged Foods","USA",27406.93,9.73,86.49%,5.59%,4.76,2.01%,-30.75%,2.87,6244.56
"CMCSA","Comcast Corp","Communication Services","Telecom Services","USA",117301.40,5.25,85.71%,1.52%,2.52,-9.77%,-22.00%,2.24,22005.03
"TAP","Molson Coors Beverage Company","Consumer Defensive","Beverages - Brewers","USA",9032.90,8.97,90.72%,10.31%,6.59,-3.62%,-17.31%,2.58,2545.49
"CAG","Conagra Brands Inc","Consumer Defensive","Packaged Foods","USA",8866.12,7.73,93.92%,5.04%,2.07,-9.41%,-42.53%,2.95,11547.06
"O","Realty Income Corp","Real Estate","REIT - Retail","USA",54940.89,58.62,79.18%,4.25%,7.16,5.05%,-3.19%,2.50,5416.99
"PFE","Pfizer Inc","Healthcare","Drug Manufacturers - General","USA",137014.95,12.82,66.75%,1.99%,2.63,-0.58%,-17.78%,2.48,42862.27
