"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"LRCX","Lam Research Corp","Technology","Semiconductor Equipment & Materials","USA",167843.40,32.01,85.95%,2.48%,2.80,36.74%,65.60%,1.69,11131.47
"CLSK","Cleanspark Inc","Financial","Capital Markets","USA",3738.49,15.15,61.97%,20.48%,2.25,20.58%,38.11%,1.38,24660.40
"APP","Applovin Corp","Communication Services","Advertising Agencies","USA",232029.29,101.91,59.77%,6.65%,2.05,95.95%,424.80%,1.67,7247.07
"HUT","Hut 8 Corp","Financial","Capital Markets","USA",3578.53,24.03,61.96%,15.55%,2.48,82.31%,170.63%,1.00,5872.25
"IESC","IES Holdings Inc","Industrials","Engineering & Construction","USA",7961.64,32.58,97.00%,4.55%,6.05,35.37%,111.17%,1.00,145.63
"AMAT","Applied Materials Inc","Technology","Semiconductor Equipment & Materials","USA",165207.72,24.73,80.53%,2.51%,2.59,13.28%,5.10%,1.86,7683.85
"ACLS","Axcelis Technologies Inc","Technology","Semiconductor Equipment & Materials","USA",3109.52,20.23,100.94%,15.18%,9.12,42.01%,-2.73%,2.67,511.90
"ENVA","Enova International Inc","Financial","Credit Services","USA",3095.31,13.14,98.43%,7.72%,5.48,10.97%,53.65%,1.25,332.57
"MU","Micron Technology Inc","Technology","Semiconductors","USA",178243.06,21.01,80.77%,2.27%,1.12,29.23%,66.30%,1.58,22715.97
"NVDA","NVIDIA Corp","Technology","Semiconductors","USA",4381290.07,51.32,67.90%,0.93%,1.25,14.12%,45.98%,1.33,173815.70
"BLBD","Blue Bird Corp","Industrials","Farm & Heavy Construction Machinery","USA",1857.46,16.72,108.94%,14.29%,7.73,35.73%,11.16%,1.38,576.74
"GRBK","Green Brick Partners Inc","Consumer Cyclical","Residential Construction","USA",3180.25,9.33,77.69%,3.37%,5.29,16.09%,-9.55%,2.33,255.10
"HIMS","Hims & Hers Health Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",13334.86,73.84,77.76%,32.83%,2.14,18.35%,241.82%,2.82,31115.66
"SMCI","Super Micro Computer Inc","Technology","Computer Hardware","USA",27443.54,27.83,52.03%,18.52%,2.83,-5.77%,0.80%,2.55,33467.54
"INMD","Inmode Ltd","Healthcare","Medical Devices","Israel",1041.98,6.07,53.70%,5.59%,2.90,3.74%,-8.88%,2.86,1209.75
"GCT","GigaCloud Technology Inc","Technology","Software - Infrastructure","USA",1122.83,8.97,30.93%,12.43%,3.10,50.71%,51.86%,1.50,1011.40
"RL","Ralph Lauren Corp","Consumer Cyclical","Apparel Manufacturing","USA",18983.79,25.01,64.54%,3.47%,1.99,14.23%,65.50%,1.74,656.04
"NVMI","Nova Ltd","Technology","Semiconductor Equipment & Materials","Israel",9145.83,42.44,78.50%,5.58%,4.33,12.84%,54.79%,1.38,379.19
