"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"HCTI","Healthcare Triangle Inc","Healthcare","Health Information Services","USA",17.03,,1.06%,17.17%,0.76,-52.90%,-97.45%,1.00,1324.40
"SSII","SS Innovations International Inc","Healthcare","Medical Devices","USA",1374.47,,0.13%,0.28%,1.04,37.33%,77.50%,,83.71
"BBAI","BigBear.ai Holdings Inc","Technology","Information Technology Services","USA",2587.50,,34.26%,21.67%,0.76,-7.67%,350.32%,1.67,102789.71
"LW","Lamb Weston Holdings Inc","Consumer Defensive","Packaged Foods","USA",8641.38,29.77,91.73%,3.31%,2.20,17.53%,-7.17%,2.50,2079.30
"QBTS","D-Wave Quantum Inc","Technology","Computer Hardware","USA",8765.93,,45.83%,19.17%,1.37,60.39%,2388.35%,1.00,45812.97
"QUBT","Quantum Computing Inc","Technology","Computer Hardware","USA",3032.98,,35.42%,21.07%,1.21,-8.14%,2742.37%,1.67,22634.28
"CISO","CISO Global Inc","Technology","Software - Infrastructure","USA",36.08,,3.90%,2.74%,1.03,-10.00%,50.02%,1.00,725.57
"UPST","Upstart Holdings Inc","Financial","Credit Services","USA",5015.83,,64.24%,26.30%,3.09,-28.97%,27.61%,2.50,7105.82
"IONQ","IonQ Inc","Technology","Computer Hardware","USA",18780.79,,43.99%,15.67%,1.94,40.98%,549.74%,1.67,22795.62
"MEG","Montrose Environmental Group Inc","Industrials","Waste Management","USA",993.67,,97.61%,7.55%,5.69,25.71%,3.19%,1.75,435.05
"ACHR","Archer Aviation Inc","Industrials","Aerospace & Defense","USA",6327.71,,51.77%,18.66%,2.95,-1.70%,219.54%,1.43,34333.34
"RZLV","Rezolve AI PLC","Technology","Software - Infrastructure","United Kingdom",1232.97,,5.40%,12.69%,0.69,82.67%,-31.44%,1.00,14694.80
"DNL","WisdomTree Global ex-U.S. Quality Dividend Growth Fund","Financial","Exchange Traded Fund","USA",,,,,0.06,1.33%,3.21%,,30.28
"BMRN","Biomarin Pharmaceutical Inc","Healthcare","Biotechnology","USA",10533.92,16.25,97.69%,3.86%,3.46,-4.04%,-22.27%,1.50,2114.96
"SG","Sweetgreen Inc","Consumer Cyclical","Restaurants","USA",953.97,,93.32%,22.29%,3.87,-43.96%,-77.55%,2.00,5919.10
"MFC","Manulife Financial Corp","Financial","Insurance - Life","Canada",53419.08,14.01,51.52%,0.38%,3.13,0.00%,6.50%,2.06,2060.46
"BIP","Brookfield Infrastructure Partners L.P","Utilities","Utilities - Diversified","Bermuda",21650.58,1710.82,57.48%,0.10%,0.86,-1.78%,-5.68%,1.33,527.54
"IBRX","ImmunityBio Inc","Healthcare","Biotechnology","USA",2344.24,,13.19%,86.00%,9.50,-6.06%,-36.90%,1.00,8898.32
"LI","Li Auto Inc ADR","Consumer Cyclical","Auto Manufacturers","China",21302.19,24.21,5.16%,2.90%,4.18,-2.45%,-1.09%,1.92,5724.34
"SOUN","SoundHound AI Inc","Technology","Software - Application","USA",6584.14,,43.19%,32.43%,1.99,43.56%,237.87%,1.60,59552.78
"NIO","NIO Inc ADR","Consumer Cyclical","Auto Manufacturers","China",14864.03,,8.94%,9.28%,2.19,119.83%,17.33%,1.97,82410.55
"KDP","Keurig Dr Pepper Inc","Consumer Defensive","Beverages - Non-Alcoholic","USA",34775.94,22.71,92.62%,2.19%,1.77,-24.35%,-31.59%,2.00,16026.11
"IREN","IREN Ltd","Financial","Capital Markets","Australia",12765.19,,55.81%,12.26%,0.98,200.64%,431.98%,1.69,31690.34
"FFBC","First Financial Bancorp","Financial","Banks - Regional","USA",2424.49,10.14,80.03%,2.11%,4.39,-1.17%,2.06%,2.33,455.07
"BHF","Brighthouse Financial Inc","Financial","Insurance - Life","USA",3040.79,5.75,86.72%,5.19%,2.64,-1.07%,19.21%,3.09,1109.13
"RGTI","Rigetti Computing Inc","Technology","Computer Hardware","USA",9676.33,,38.21%,14.38%,0.86,128.21%,3584.28%,1.12,52838.61
"SBH","Sally Beauty Holdings Inc","Consumer Cyclical","Specialty Retail","USA",1612.80,8.78,124.12%,19.78%,9.22,60.59%,21.46%,2.60,2103.45
