"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"WGRX","Wellgistics Health Inc","Healthcare","Pharmaceutical Retailers","USA",103.06,,0.78%,9.84%,0.35,16.17%,,,3570.39
"USBC","USBC Inc","Technology","Scientific & Technical Instruments","USA",407.55,,0.11%,2.46%,0.42,-58.66%,-87.90%,1.00,705.57
"LAES","SEALSQ Corp","Technology","Semiconductors","Switzerland",1296.15,,13.07%,13.08%,0.94,117.70%,1457.78%,1.00,23236.99
"RVPH","Reviva Pharmaceuticals Holdings Inc","Healthcare","Biotechnology","USA",65.06,,14.39%,25.86%,2.63,37.82%,-53.10%,1.00,8462.01
"BURU","Nuburu Inc","Industrials","Specialty Industrial Machinery","USA",52.88,,0.58%,15.50%,0.17,29.66%,-33.98%,,123529.49
"DFLI","Dragonfly Energy Holdings Corp","Industrials","Electrical Equipment & Parts","USA",154.61,,3.66%,5.03%,0.15,245.85%,-76.03%,1.00,38828.15
"ARTV","Artiva Biotherapeutics Inc","Healthcare","Biotechnology","USA",132.14,,53.66%,1.64%,0.10,82.77%,-52.12%,1.00,2053.43
"MSN","Emerson Radio Corp","Technology","Consumer Electronics","USA",10.94,,4.16%,2.34%,0.09,18.23%,3.61%,,1517.17
"CTXR","Citius Pharmaceuticals Inc","Healthcare","Biotechnology","USA",33.62,,4.94%,9.09%,2.21,18.18%,-80.27%,2.00,716.12
"FEMY","Femasys Inc","Healthcare","Medical Instruments & Supplies","USA",27.24,,11.96%,10.86%,0.66,-26.78%,-50.90%,1.00,5282.73
