"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"UMAC","Unusual Machines Inc","Technology","Computer Hardware","USA",470.40,,12.12%,8.94%,0.70,62.79%,901.52%,1.00,3341.31
"QBTS","D-Wave Quantum Inc","Technology","Computer Hardware","USA",12096.16,,49.43%,13.95%,0.88,100.15%,2872.02%,1.00,51762.05
"ABTC","American Bitcoin Corp","Financial","Capital Markets","USA",5510.23,,0.12%,2.44%,1.05,13.36%,104.13%,3.00,4029.16
"KDP","Keurig Dr Pepper Inc","Consumer Defensive","Beverages - Non-Alcoholic","USA",39713.85,25.94,92.51%,2.29%,1.69,-13.63%,-20.34%,1.95,17571.35
"ETH","Grayscale Ethereum Mini Trust ETF","Financial","Exchange Traded Fund","USA",,,,,0.36,11.76%,67.88%,,5948.66
"HUT","Hut 8 Corp","Financial","Capital Markets","USA",5265.23,35.35,66.96%,15.80%,2.29,153.26%,230.20%,1.00,6456.89
"RGTI","Rigetti Computing Inc","Technology","Computer Hardware","USA",13161.10,,38.35%,13.09%,0.55,180.58%,3255.37%,1.00,75815.57
"IONQ","IonQ Inc","Technology","Computer Hardware","USA",21787.21,,37.85%,14.47%,1.75,54.72%,325.44%,1.67,27175.52
"BTC","Grayscale Bitcoin Mini Trust ETF","Financial","Exchange Traded Fund","USA",,,,,0.14,-2.15%,73.20%,,1491.71
"FRMI","Fermi Inc","Real Estate","REIT - Specialty","USA",14482.10,,,1.09%,0.37,,,1.00,8703.77
"SOFI","SoFi Technologies Inc","Financial","Credit Services","USA",35605.18,60.58,52.94%,8.64%,1.40,34.09%,188.26%,2.92,71413.60
"MAT","Mattel, Inc","Consumer Cyclical","Leisure","USA",6113.74,14.16,100.17%,3.54%,2.88,8.99%,6.72%,1.62,3938.19
"QUBT","Quantum Computing Inc","Technology","Computer Hardware","USA",2971.27,,34.35%,23.94%,1.14,3.45%,1428.85%,1.50,31948.42
"MDLZ","Mondelez International Inc","Consumer Defensive","Confectioners","USA",79493.53,22.43,85.58%,1.88%,3.30,-11.87%,-12.93%,1.86,7377.21
