"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"CLIR","ClearSign Technologies Corp","Industrials","Pollution & Treatment Controls","USA",48.75,,8.64%,0.77%,0.40,66.04%,5.68%,1.00,783.67
"BFRI","Biofrontera Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",11.74,,20.90%,0.77%,0.37,16.22%,10.00%,1.00,180.41
"EPOW","Sunrise New Energy Co. Ltd","Industrials","Electrical Equipment & Parts","China",37.76,,0.10%,3.20%,0.30,33.54%,19.00%,,1829.68
"NAUT","Nautilus Biotechnology Inc","Healthcare","Biotechnology","USA",195.77,,27.00%,0.30%,0.39,112.04%,-39.69%,1.00,459.02
"RMCF","Rocky Mountain Chocolate Factory Inc","Consumer Defensive","Confectioners","USA",13.41,,44.15%,2.12%,0.39,16.22%,-33.59%,1.00,320.50
"DLPN","Dolphin Entertainment Inc","Communication Services","Advertising Agencies","USA",21.33,,3.92%,1.71%,0.63,58.93%,52.14%,1.00,242.49
"RCT","RedCloud Holdings PLC","Technology","Software - Application","United Kingdom",86.25,,2.48%,0.29%,0.07,-8.86%,,1.00,1882.47
"PERF","Perfect Corp","Technology","Software - Application","Taiwan",204.69,35.76,6.85%,0.07%,0.33,3.59%,4.13%,1.67,162.95
"PSHG","Performance Shipping Inc","Industrials","Marine Shipping","Greece",26.11,1.06,4.68%,4.37%,3.69,17.25%,6.60%,1.00,120.72
"EGHT","8X8 Inc","Technology","Software - Application","USA",300.19,,77.08%,2.59%,4.62,14.06%,-5.12%,2.33,732.80
"SYPR","Sypris Solutions, Inc","Consumer Cyclical","Auto Parts","USA",50.90,,17.26%,3.04%,2.83,12.76%,63.70%,3.00,131.96
"DWSN","Dawson Geophysical Company","Energy","Oil & Gas Equipment & Services","USA",68.92,,86.36%,0.15%,0.69,63.24%,36.20%,2.00,65.10
"SND","Smart Sand Inc","Energy","Oil & Gas Equipment & Services","USA",97.14,122.53,26.05%,0.37%,1.19,19.25%,10.58%,3.00,94.55
"PODC","PodcastOne Inc","Communication Services","Internet Content & Information","USA",59.43,,3.60%,1.51%,0.89,41.51%,66.67%,1.00,55.75
"SEER","Seer Inc","Healthcare","Biotechnology","USA",126.05,,31.75%,4.73%,12.17,-1.76%,11.86%,2.33,128.26
"BTE","Baytex Energy Corp","Energy","Oil & Gas E&P","Canada",1835.78,12.01,33.22%,5.62%,1.68,16.56%,-22.17%,2.27,22234.38
"PLX","Protalix BioTherapeutics Inc","Healthcare","Biotechnology","USA",190.56,32.30,15.67%,6.60%,5.74,55.19%,86.72%,1.00,820.27
"RANI","Rani Therapeutics Holdings Inc","Healthcare","Biotechnology","USA",181.04,,32.79%,0.30%,0.01,377.10%,4.53%,1.00,16611.97
"GDTC","CytoMed Therapeutics Ltd","Healthcare","Biotechnology","Singapore",29.69,,0.39%,2.65%,1.44,35.29%,9.76%,1.00,71.87
"BFLY","Butterfly Network Inc","Healthcare","Medical Devices","USA",644.06,,42.48%,9.68%,3.39,91.71%,24.99%,1.00,5399.89
"GROW","U.S. Global Investors, Inc","Financial","Asset Management","USA",33.70,,28.89%,0.14%,0.37,9.70%,5.69%,,37.10
"ESLA","Estrella Immunopharma Inc","Healthcare","Biotechnology","USA",100.45,,1.71%,0.29%,0.15,229.28%,246.33%,1.00,192.79
"WETH","Wetouch Technology Inc","Technology","Electronic Components","China",32.58,4.31,2.45%,0.58%,0.23,228.92%,71.70%,,299.52
