"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"SIEB","Siebert Financial Corp","Financial","Capital Markets","USA",111.58,11.62,7.98%,3.73%,7.77,-29.95%,9.96%,,46.84
"ACVA","ACV Auctions Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",912.51,,103.59%,6.97%,3.37,-60.30%,-70.07%,1.64,3402.78
"HPK","HighPeak Energy Inc","Energy","Oil & Gas E&P","USA",684.45,15.22,21.02%,24.24%,10.98,-35.35%,-62.47%,2.67,505.53
"BLMN","Bloomin Brands Inc","Consumer Cyclical","Restaurants","USA",564.98,,108.34%,11.27%,3.97,2.65%,-57.78%,3.08,2359.08
"DLTH","Duluth Holdings Inc","Consumer Cyclical","Apparel Retail","USA",104.56,,21.70%,3.40%,0.31,29.54%,-25.98%,2.00,1219.21
"RAVE","Rave Restaurant Group Inc","Consumer Cyclical","Restaurants","USA",41.34,15.63,20.29%,0.30%,0.54,3.14%,-6.48%,3.00,45.33
"DAWN","Day One Biopharmaceuticals Inc","Healthcare","Biotechnology","USA",946.67,,75.53%,13.50%,6.45,56.27%,-39.14%,1.20,1559.11
"GAIA","Gaia Inc","Communication Services","Entertainment","USA",109.35,,51.41%,1.89%,8.07,-0.57%,-26.93%,1.00,41.67
"ESPR","Esperion Therapeutics Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",591.80,,51.60%,10.78%,3.64,38.48%,20.52%,1.88,6701.51
"SRTS","Sensus Healthcare Inc","Healthcare","Medical Devices","USA",59.02,,27.18%,4.76%,5.17,12.89%,-45.19%,1.00,137.04
"NAGE","Niagen Bioscience Inc","Healthcare","Biotechnology","USA",535.02,27.54,36.80%,8.11%,3.75,-31.73%,9.72%,1.00,1112.50
"SMSI","Smith Micro Software, Inc","Technology","Software - Application","USA",12.72,,6.69%,1.99%,0.61,-9.03%,-25.60%,1.00,520.63
"NXDR","Nextdoor Holdings Inc","Communication Services","Internet Content & Information","USA",665.17,,37.03%,2.29%,2.58,-10.26%,-32.16%,2.60,1864.98
"RCON","Recon Technology Ltd","Energy","Oil & Gas Equipment & Services","China",16.66,,0.00%,0.16%,0.35,-43.20%,-46.21%,1.00,46.23
"HPP","Hudson Pacific Properties Inc","Real Estate","REIT - Office","USA",862.29,,113.48%,8.41%,5.79,-7.99%,-49.09%,2.50,5431.94
