"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"DASX","Tradr 2X Long DASH Daily ETF","Financial","Exchange Traded Fund","USA",,,,,0.27,,,,14.45
"SMCX","Defiance Daily Target 2x Long SMCI ETF","Financial","Exchange Traded Fund","USA",,,,,0.93,-47.96%,-27.74%,,2119.25
"SMCC","Defiance Leveraged Long + Income SMCI ETF","Financial","Exchange Traded Fund","USA",,,,,0.51,,,,18.70
"HIMY","Defiance Leveraged Long + Income HIMS ETF","Financial","Exchange Traded Fund","USA",,,,,0.09,,,,44.49
"SST","System1 Inc","Industrials","Specialty Business Services","USA",38.21,,6.45%,11.07%,5.68,-36.62%,-67.34%,1.00,34.08
"SMCI","Super Micro Computer Inc","Technology","Computer Hardware","USA",21737.21,29.18,53.66%,14.98%,2.65,-20.60%,67.80%,2.45,29002.54
"FORD","Forward Industries, Inc","Consumer Cyclical","Footwear & Accessories","USA",800.61,,11.27%,0.57%,0.87,-25.92%,116.86%,3.00,564.05
"KLC","KinderCare Learning Companies Inc","Consumer Defensive","Education & Training Services","USA",493.39,,28.06%,7.22%,2.33,-44.25%,-84.82%,2.62,957.87
"OM","Outset Medical Inc","Healthcare","Medical Devices","USA",91.48,,105.78%,9.95%,5.35,-63.09%,-60.84%,1.50,322.90
"SMCY","YieldMax SMCI Option Income Strategy ETF","Financial","Exchange Traded Fund","USA",,,,,1.47,-39.55%,-58.53%,,1074.04
"AUNA","Auna S.A","Healthcare","Medical Care Facilities","Luxembourg",376.71,5.93,25.84%,0.69%,2.24,-18.43%,-26.23%,1.40,70.74
"ABCL","AbCellera Biologics Inc","Healthcare","Biotechnology","Canada",1110.53,,35.69%,24.34%,10.76,-20.56%,25.34%,1.50,5125.82
"AXUP","T-REX 2X Long AXON Daily Target ETF","Financial","Exchange Traded Fund","USA",,,,,0.01,,,,21.84
"PLSE","Pulse Biosciences Inc","Healthcare","Medical Instruments & Supplies","USA",978.56,,8.66%,13.75%,13.11,-7.91%,-18.60%,1.00,180.88
"ORCL","Oracle Corp","Technology","Software - Infrastructure","USA",632362.81,51.35,44.41%,1.22%,0.86,-10.94%,17.01%,1.80,23943.62
"DUOL","Duolingo Inc","Technology","Software - Application","USA",8758.80,24.14,88.42%,11.82%,2.41,-48.57%,-39.60%,2.11,1903.63
"LYRA","Lyra Therapeutics Inc","Healthcare","Biotechnology","USA",6.88,,25.69%,1.56%,0.79,-46.93%,-71.79%,3.00,29.55
"CCOI","Cogent Communications Holdings Inc","Communication Services","Telecom Services","USA",830.88,,97.77%,15.24%,4.59,-54.16%,-78.60%,2.38,1554.85
"VOR","Vor Biopharma Inc","Healthcare","Biotechnology","USA",67.45,,20.65%,17.43%,1.76,-75.83%,-50.19%,1.75,518.57
"AXON","Axon Enterprise Inc","Industrials","Aerospace & Defense","USA",44446.71,178.30,82.09%,2.87%,3.13,-28.85%,-5.36%,1.43,686.76
"TME","Tencent Music Entertainment Group ADR","Communication Services","Internet Content & Information","China",10877.08,19.59,79.12%,2.45%,2.46,-25.99%,72.88%,1.38,5746.95
"RZLV","Rezolve AI PLC","Technology","Software - Infrastructure","United Kingdom",966.53,,10.90%,10.94%,0.61,-12.54%,-29.91%,1.00,20027.25
"NSYS","Nortech Systems Inc","Healthcare","Medical Devices","USA",20.46,,4.45%,2.01%,2.42,-12.79%,-37.82%,,7.40
