"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"MAMO","Massimo Group","Consumer Cyclical","Recreational Vehicles","USA",166.56,,0.26%,0.45%,0.54,34.23%,-10.51%,,41.20
"VRA","Vera Bradley Inc","Consumer Cyclical","Footwear & Accessories","USA",78.08,,50.67%,6.66%,5.78,41.16%,-46.76%,1.00,220.53
"KYTX","Kyverna Therapeutics Inc","Healthcare","Biotechnology","USA",345.55,,23.58%,12.47%,4.33,130.03%,64.37%,1.00,622.37
"MRVI","Maravai LifeSciences Holdings Inc","Healthcare","Biotechnology","USA",933.33,,78.19%,12.23%,9.34,48.37%,-29.81%,2.09,1389.79
"EYPT","EyePoint Pharmaceuticals Inc","Healthcare","Biotechnology","USA",1186.79,,74.65%,10.28%,6.39,24.55%,36.66%,1.08,1182.80
"LQDA","Liquidia Corp","Healthcare","Biotechnology","USA",2653.52,,71.95%,25.26%,6.86,11.52%,204.26%,1.44,2557.20
"VTGN","Vistagen Therapeutics Inc","Healthcare","Biotechnology","USA",186.02,,57.88%,,2.59,51.94%,72.53%,1.00,525.08
"EXOZ","eXoZymes Inc","Healthcare","Biotechnology","USA",131.30,,0.71%,0.69%,5.19,54.95%,,,2.80
"ANNX","Annexon Inc","Healthcare","Biotechnology","USA",458.07,,80.19%,8.79%,4.61,47.90%,-50.00%,1.00,1986.17
"CNTA","Centessa Pharmaceuticals plc ADR","Healthcare","Biotechnology","United Kingdom",3799.38,,59.89%,6.00%,3.47,63.57%,61.51%,1.00,1486.16
"IMPP","Imperial Petroleum Inc","Energy","Oil & Gas Midstream","Greece",217.95,5.82,20.71%,13.35%,6.12,105.76%,78.21%,1.00,478.10
"RAVE","Rave Restaurant Group Inc","Consumer Cyclical","Restaurants","USA",43.08,15.49,20.24%,0.24%,0.45,-6.73%,8.26%,3.00,48.80
