"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"MNDR","Mobile health Network Solutions","Healthcare","Health Information Services","Singapore",5.54,,8.50%,9.47%,0.05,-15.88%,-59.45%,1.00,1343.03
"IVDA","Iveda Solutions Inc","Industrials","Security & Protection Services","USA",5.44,,4.15%,4.13%,0.13,-42.78%,-52.22%,1.00,1884.68
"NNOX","Nano X Imaging Ltd","Healthcare","Medical Devices","Israel",269.06,,19.86%,11.47%,5.46,8.48%,-25.84%,1.00,1333.17
"MAGN","Magnera Corp","Basic Materials","Paper & Paper Products","USA",397.80,,102.92%,10.52%,4.41,-12.84%,-38.20%,2.00,841.42
"STLA","Stellantis N.V","Consumer Cyclical","Auto Manufacturers","Netherlands",27926.92,,23.90%,2.21%,2.68,-2.11%,-25.52%,2.74,16389.77
"VOYG","Voyager Technologies Inc","Industrials","Aerospace & Defense","USA",1138.56,,35.59%,4.48%,2.20,-36.75%,,1.40,1043.72
"BV","BrightView Holdings Inc","Industrials","Specialty Business Services","USA",1159.13,281.38,80.09%,4.20%,3.57,-16.34%,-22.53%,2.22,836.17
"ATKR","Atkore Inc","Industrials","Electrical Equipment & Parts","USA",2024.73,,97.84%,6.56%,3.87,2.23%,-30.31%,2.33,560.57
"SCVL","Shoe Carnival, Inc","Consumer Cyclical","Apparel Retail","USA",445.59,7.74,75.10%,19.49%,7.55,-27.13%,-51.65%,3.00,456.61
"CC","Chemours Company","Basic Materials","Specialty Chemicals","USA",1628.58,,94.47%,8.82%,4.32,-28.57%,-42.36%,1.90,3038.37
"SCL","Stepan Co","Basic Materials","Specialty Chemicals","USA",990.37,22.15,86.12%,1.90%,2.23,-13.38%,-41.86%,2.50,183.36
"CCO","Clear Channel Outdoor Holdings Inc","Communication Services","Advertising Agencies","USA",875.25,,65.47%,4.54%,4.67,39.68%,12.82%,3.00,3610.72
"DTST","Data Storage Corp","Technology","Information Technology Services","USA",32.46,,11.66%,2.01%,1.35,-5.04%,7.44%,1.00,59.68
"COTY","Coty Inc","Consumer Defensive","Household & Personal Products","USA",2776.74,,38.01%,6.78%,3.09,-16.67%,-55.22%,2.67,8084.52
"CMCSA","Comcast Corp","Communication Services","Telecom Services","USA",98679.22,4.50,85.77%,1.37%,1.77,-20.37%,-36.01%,2.48,27836.75
"T","AT&T, Inc","Communication Services","Telecom Services","USA",183439.51,8.40,66.70%,1.22%,1.86,-9.97%,13.84%,1.76,46696.96
"RERE","ATRenew Inc ADR","Consumer Cyclical","Internet Retail","China",544.66,25.57,41.18%,,1.72,-8.13%,67.68%,1.00,1714.96
"MDWD","MediWound Ltd","Healthcare","Biotechnology","Israel",219.05,,43.95%,11.46%,10.42,-0.96%,8.13%,1.00,96.97
"DSX","Diana Shipping Inc","Industrials","Marine Shipping","Greece",196.82,10.53,9.39%,0.97%,1.94,3.66%,-21.66%,1.00,321.62
"NJR","New Jersey Resources Corporation","Utilities","Utilities - Regulated Gas","USA",4870.37,14.56,77.34%,2.36%,4.03,2.46%,-0.52%,1.86,583.94
"CZR","Caesars Entertainment Inc","Consumer Cyclical","Resorts & Casinos","USA",4097.47,,105.59%,18.71%,3.99,-24.95%,-46.29%,1.77,8962.30
"WBD","Warner Bros. Discovery Inc","Communication Services","Entertainment","USA",56931.47,122.47,71.49%,3.18%,1.44,90.82%,141.84%,2.03,51878.29
"KD","Kyndryl Holdings Inc","Technology","Information Technology Services","USA",5436.40,14.02,83.26%,7.15%,6.83,-23.64%,-15.17%,1.50,2345.67
"JHG","Janus Henderson Group plc","Financial","Asset Management","United Kingdom",6528.18,12.43,92.85%,1.11%,1.36,-4.11%,-3.78%,2.40,1256.23
"OPP","RiverNorth/DoubleLine Strategic opportunity fund Inc","Financial","Closed-End Fund - Debt","USA",189.64,8.13,28.18%,2.50%,4.79,-7.28%,-4.97%,,123.45
