"Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Institutional Ownership","Short Float","Short Ratio","Performance (Quarter)","Performance (Year)","Analyst Recom","Average Volume"
"KALA","Kala Bio Inc","Healthcare","Biotechnology","USA",14.70,,12.72%,5.86%,0.27,-85.31%,-72.40%,3.00,1720.46
"FTEL","Fitell Corp","Consumer Cyclical","Specialty Retail","Australia",3.03,,0.00%,6.46%,0.02,-83.75%,-99.70%,,1266.20
"HDSN","Hudson Technologies, Inc","Basic Materials","Specialty Chemicals","USA",320.89,14.66,77.67%,2.77%,3.49,-28.27%,25.38%,2.00,302.04
"JYD","Jayud Global Logistics Ltd","Industrials","Integrated Freight & Logistics","China",11.65,,0.28%,1.73%,0.18,-48.98%,-93.13%,,89.41
"PRMB","Primo Brands Corp","Consumer Defensive","Beverages - Non-Alcoholic","USA",6104.16,,74.58%,5.77%,2.16,-33.98%,-41.77%,1.47,6690.03
"MAIA","MAIA Biotechnology Inc","Healthcare","Biotechnology","USA",45.23,,6.41%,3.28%,1.76,-18.58%,-44.99%,1.00,540.21
"PRGO","Perrigo Company plc","Healthcare","Drug Manufacturers - Specialty & Generic","Ireland",1895.77,,107.72%,8.67%,4.45,-41.36%,-51.39%,2.20,2663.34
"NEXN","Nexxen International Ltd","Communication Services","Advertising Agencies","Israel",425.69,10.91,43.25%,3.56%,3.07,-32.35%,-34.61%,1.33,439.77
"SVRN","OceanPal Inc","Industrials","Marine Shipping","Greece",43.57,,2.38%,1.29%,0.69,21.74%,-96.06%,,427.98
"MRX","Marex Group Plc","Financial","Capital Markets","United Kingdom",2522.95,13.03,73.20%,5.39%,3.27,0.17%,21.26%,1.17,879.05
"GSL","Global Ship Lease Inc","Industrials","Marine Shipping","Greece",1275.94,3.20,48.02%,2.18%,2.01,18.15%,65.29%,2.00,352.89
"RMNI","Rimini Street Inc","Technology","Software - Application","USA",354.17,8.41,39.67%,3.52%,5.74,-7.21%,77.88%,1.40,296.92
"STM","ST Microelectronics","Technology","Semiconductors","Switzerland",20783.88,40.95,9.47%,0.72%,1.06,-11.34%,-8.91%,2.34,6062.78
"LRN","Stride Inc","Consumer Defensive","Education & Training Services","USA",2819.04,9.92,109.41%,13.43%,3.37,-60.26%,-40.73%,1.80,1697.89
"DXCM","Dexcom Inc","Healthcare","Medical Devices","USA",24828.43,35.43,95.96%,3.49%,2.10,-14.32%,-18.32%,1.48,6395.21
