date,close,high,low,open,volume
2024-03-13,13360.0,14000.0,12040.0,12040.0,5
2024-03-14,12160.0,13600.0,12040.0,13560.0,2
2024-03-15,13560.0,15200.0,12040.0,12040.0,5
2024-03-18,13240.0,14400.0,12240.0,12760.0,3
2024-03-19,15920.0,16400.0,12520.0,12520.0,128
2024-03-20,13080.0,14800.0,12840.0,14400.0,17
2024-03-21,12800.0,13960.0,12400.0,13400.0,5
2024-03-22,13120.0,13200.0,12040.0,12600.0,6
2024-03-25,13000.0,13200.0,12040.0,12400.0,3
2024-03-26,11680.0,12720.0,11600.0,12040.0,6
2024-03-27,11200.0,12200.0,10800.0,11800.0,4
2024-03-28,10400.0,11600.0,9600.0,11360.0,9
2024-04-01,10600.0,11240.0,9600.0,11240.0,6
2024-04-02,10800.0,11600.0,9600.0,10960.0,7
2024-04-03,9000.0,10480.0,9000.0,10480.0,9
2024-04-04,10000.0,10000.0,9040.0,9200.0,6
2024-04-05,9680.0,10200.0,9360.0,9920.0,4
2024-04-08,9560.0,10200.0,9240.0,10200.0,1
2024-04-09,8920.0,9400.0,8680.0,9280.0,4
2024-04-10,8760.0,9600.0,8080.0,9520.0,4
2024-04-11,9440.0,11000.0,9000.0,9320.0,14
2024-04-12,8360.0,9800.0,8280.0,9800.0,7
2024-04-15,7720.0,8360.0,7240.0,8360.0,5
2024-04-16,7600.0,8800.0,7320.0,7480.0,2
2024-04-17,7520.0,8240.0,6880.0,7720.0,2
2024-04-18,7400.0,8320.0,7200.0,7880.0,2
2024-04-19,7680.0,7960.0,7120.0,7160.0,4
2024-04-22,7600.0,7800.0,7200.0,7600.0,4
2024-04-23,8280.0,8800.0,7240.0,7240.0,11
2024-04-24,8400.0,9200.0,8040.0,8280.0,8
2024-04-25,8240.0,8800.0,8200.0,8600.0,3
2024-04-26,8240.0,8640.0,8120.0,8520.0,2
2024-04-29,7600.0,8320.0,7240.0,8320.0,3
2024-04-30,7080.0,7600.0,7000.0,7360.0,3
2024-05-01,7560.0,7920.0,7040.0,7080.0,2
2024-05-02,7080.0,7720.0,6800.0,7560.0,6
2024-05-03,6760.0,7280.0,6280.0,7280.0,7
2024-05-06,6640.0,7560.0,6560.0,6920.0,4
2024-05-07,6560.0,7000.0,6440.0,6640.0,8
2024-05-08,6440.0,6720.0,6040.0,6360.0,6
2024-05-09,6320.0,6800.0,6040.0,6320.0,7
2024-05-10,6400.0,6680.0,6080.0,6400.0,4
2024-05-13,6440.0,6600.0,6160.0,6600.0,3
2024-05-14,6680.0,6800.0,6240.0,6480.0,4
2024-05-15,6880.0,7000.0,6320.0,6800.0,2
2024-05-16,7880.0,7920.0,6800.0,6800.0,28
2024-05-17,8040.0,9400.0,8000.0,8240.0,25
2024-05-20,7880.0,8200.0,7120.0,7360.0,5
2024-05-21,7600.0,8200.0,7240.0,7680.0,6
2024-05-22,7600.0,8000.0,6880.0,7400.0,3
2024-05-23,7160.0,7600.0,7000.0,7240.0,3
2024-05-24,8120.0,8360.0,6920.0,7040.0,44
2024-05-28,8520.0,9960.0,7240.0,7600.0,64
2024-05-29,8600.0,9200.0,7600.0,9080.0,160
2024-05-30,7400.0,8680.0,7320.0,7800.0,71
2024-05-31,6040.0,7440.0,5640.0,7440.0,92
2024-06-03,6280.0,6320.0,5640.0,6280.0,25
2024-06-04,5680.0,6280.0,5680.0,6240.0,15
2024-06-05,5880.0,6000.0,4880.0,5520.0,34
2024-06-06,5240.0,5880.0,5200.0,5680.0,23
2024-06-07,5200.0,5920.0,5000.0,5360.0,36
2024-06-10,5520.0,5880.0,4400.0,4960.0,231
2024-06-11,5240.0,5920.0,5200.0,5400.0,128
2024-06-12,4280.0,5080.0,4080.0,5080.0,115
2024-06-13,3440.0,3960.0,3400.0,3600.0,126
2024-06-14,2870.0,3690.0,2640.0,2950.0,346
