date,close,high,low,open,volume
2024-03-18,45.5,47.5,43.5,47.5,6192
2024-03-19,41.0,45.5,39.5,45.5,10048
2024-03-20,39.0,43.5,36.5,41.0,15906
2024-03-21,34.0,40.0,31.5,39.5,16832
2024-03-22,34.0,34.5,33.0,34.0,5926
2024-03-25,37.0,37.5,33.5,34.5,9120
2024-03-26,35.5,38.0,35.0,37.5,5616
2024-03-27,39.0,39.5,35.0,36.0,7074
2024-03-28,39.5,41.5,38.0,39.0,6372
2024-04-01,37.0,41.0,35.0,41.0,4622
2024-04-02,34.5,36.5,34.0,35.5,3868
2024-04-03,31.5,34.5,30.0,34.5,9754
2024-04-04,33.0,33.5,31.5,32.0,4642
2024-04-05,34.0,37.0,32.5,33.0,11344
2024-04-08,36.5,38.0,33.5,35.5,8030
2024-04-09,39.5,41.5,35.5,37.0,13938
2024-04-10,36.0,39.5,35.5,39.5,5476
2024-04-11,34.5,36.5,34.0,36.5,1812
2024-04-12,35.5,38.5,34.0,35.0,7448
2024-04-15,36.0,37.0,34.5,37.0,4806
2024-04-16,33.0,36.5,32.0,36.5,5666
2024-04-17,32.0,34.5,31.5,34.5,1988
2024-04-18,31.0,33.0,30.0,32.5,3026
2024-04-19,32.0,32.0,30.0,30.5,6564
2024-04-22,32.5,32.5,31.0,32.5,2642
2024-04-23,37.0,37.0,33.0,33.0,4878
2024-04-24,38.0,38.5,36.5,36.5,3916
2024-04-25,36.0,37.5,35.0,37.5,1538
2024-04-26,34.0,36.0,33.0,36.0,3540
2024-04-29,35.0,35.5,34.0,35.0,2496
2024-04-30,34.5,45.5,34.0,36.5,66520
2024-05-01,33.0,37.0,30.0,35.5,13788
2024-05-02,33.5,34.0,31.5,33.0,6158
2024-05-03,33.5,34.5,32.5,34.5,4222
2024-05-06,35.0,35.5,34.0,34.5,4478
2024-05-07,34.0,36.0,33.0,35.5,4902
2024-05-08,34.0,35.0,33.5,34.0,3094
2024-05-09,34.0,35.0,33.5,35.0,2484
2024-05-10,33.5,35.5,33.5,33.5,3746
2024-05-13,35.5,36.5,35.0,35.0,6984
2024-05-14,37.0,38.0,35.5,35.5,6950
2024-05-15,35.0,38.0,33.5,37.5,14414
2024-05-16,34.5,36.5,34.0,36.5,4472
2024-05-17,33.5,35.0,33.0,35.0,3488
2024-05-20,34.5,35.5,33.5,35.5,9356
2024-05-21,34.5,35.0,34.0,35.0,2412
2024-05-22,33.5,35.0,33.0,35.0,3520
2024-05-23,31.5,34.0,30.5,33.5,8006
2024-05-24,31.5,32.0,30.5,32.0,4144
2024-05-28,31.5,32.5,31.0,32.5,3648
2024-05-29,32.0,32.0,31.0,32.0,1808
2024-05-30,33.0,33.0,31.5,32.0,3342
2024-05-31,35.0,35.0,32.5,33.5,7016
2024-06-03,33.0,36.0,33.0,35.0,4092
